Formula,"Conduction band effective mass, direction 1"
InNaI4O12,1.734
InP,0.101
InSb,0.34
Ir2Br2O2,0.842
Ir2Br2S2,-0.916
Ir2Br2Se2,0.242
Ir2Br6,1.1605
Ir2Cl2O2,0.868
Ir2Cl2S2,0.223
Ir2Cl2Se2,0.034
Ir2Cl6,10.4235
Ir2I2S2,0.124
Ir2I6,1.5975
Ir2Nb2Te8,0.067
Ir2O2,0.239
Ir2P2S6,-4.409
Ir2P2Se6,0.306
Ir2P2Te6,0.176
Ir2S2,0.07350000000000001
Ir2Se2,0.4776666666666667
Ir2Ta2Te8,0.237
Ir4S8,0.731
Ir4Se8,0.65
Ir4Te8,1.136
K2Br2,0.576
K2C2H2O6,0.883
K2C2O6,8.777
K2C4,0.603
K2C4H6O6,0.953
K2C6H6O6,2.938
K2Cl2,0.679
K2Cl2O6,1.207
K2F2,0.859
K2I2,0.512
K2N2O6,1.958
K2Os2F10N2O2,3.252
Li2Cl2O4,2.23
Li2F2O2,6.336
Li2F2S2,5.787
Li2H2O2,0.862
Li2H2S2,0.696
Li2H4N2,0.645
Li2H4N2O6,2.393
Li2PtH6O6,2.017
Li2V4O10,1.175
Li4O8Sb4,0.548
Li6H2O8Te2,1.562
LiC5H5N2O5,1.557
Mg2Cl4,0.371
Mg2Mo2O12Te2,-44.946
Mg2P2S6,0.43
Mg2P2Se6,0.388
MgB2H8,0.432
MgBr2,0.3185
MgCl2,0.43933333333333335
MgF2O2,2.202
MgF2S2,0.91
MgH2O2,0.72
MgH2S2,0.531
MgI2,0.40249999999999997
MgNa2H4O8S2,1.314
Mn2Br2S4Sb2,0.218
Mn2Br2Sb2Se4,1.572
Mn2Br6,0.613
Mn2Cl2N2,0.318
Mn2Cl2S4Sb2,1.878
Mn2Cl6,1.0245000000000002
Mn2H4O8S2,4.235
Mn2I2Sb2Se4,0.207
Mn2I6,0.914
Mn2P2S6,0.624
Mn2P2Se6,0.101
MnBr2,1.324
MnCl2,1.4273333333333333
MnF12Sb2,0.791
MnH2O2,0.615
MnI2,1.226
MnNa2F3O7P2,2.858
MnO2,0.859
MnRe2O8,1.116
MnZrBr6,1.212
MnZrCl6,3.137
MnZrF6,22.691
MnZrI6,0.756
Mo2Br4O4,0.519
Mo2Cl6,1.3375
Mo2I6,1.646
Mo2O10P2,5.732
Mo2O6,0.636
Mo2S4,0.0485
Mo2Se4,0.275
Mo2Ta2O11,0.586
Mo2W2S8,0.43
Mo2W2Se8,0.479
Mo2W2Te8,0.487
Mo2Zn2O12Te2,-22.143
Mo2Zn2O8,1.312
Mo2ZrO8,0.65
Mo3WS8,0.4
Mo3WSe8,0.449
Mo3WTe8,0.419
MoO2,0.419
MoOS,0.648
MoOSe,0.887
MoOTe,1.9
MoS2,0.427
MoSSe,0.486
MoSTe,0.46
MoSe2,0.492
MoSeTe,0.37349999999999994
MoTe2,0.47
MoW3S8,0.407
MoW3Se8,0.469
MoW3Te8,0.425
Na2B2H8O8,0.754
Na2C2H6N8O2,0.859
Na2C2N2S2,0.94
Na2F2O2,3.261
Na2F2S2,-23.103
Na2H2O2,0.6955
Na2H2S2,0.543
Na2H8I2O4,0.425
Na2Nb2Cl12,2.617
Na2PtH6O6,2.205
Na2SnH6O6,0.596
Na4As4O8,2.246
Na4O8S4,0.742
Nb2Br4O2,0.561
Nb2Br4S4,0.743
Nb2Br4Se4,0.68
Nb2Cl4S4,0.849
Nb2Cl4Se4,1.052
Nb2I2O4,0.601
Nb2I4O2,0.858
Nb2P2S6,1.093
Nb3Br7S,1.934
Nb3Br8,1.57
Nb3Cl7Te,1.652
Nb3Cl8,1.911
Nb3I7Te,1.72
Nb3I8,1.597
Nb4Ge2Te8,0.337
Nb4I2Te12,0.931
Nb4O8,0.915
Nb4S12,0.242
Nb4Si2Te8,0.296
Ni2As2O7,2.169
Ni2Cl6,0.746
Ni2P2S6,0.685
Ni2S4,0.542
Ni2Se4,0.471
Ni2Ta4Se10,-0.743
Ni2Te4,0.263
NiBr2,0.777
NiC2N2S2,0.959
NiC4H8N2O4,0.67
NiC6Cl2H4N2,1.352
NiCl2,1.038
NiCl2O8,8.848
NiH2O2,0.686
NiI2,0.673
NiO2,0.736
NiPS3,0.293
NiRe2O8,4.047
NiS2,0.262
NiSe2,0.187
NiZrBr6,8.582
NiZrCl6,8.46
NiZrF6,9.663
NiZrI6,2.086
O10P4,0.433
O14S2Te4,-7.969
O4S8Sb8,0.547
O6Sb4,1.59
O8P2Sb2,1.933
O8Te4,0.419
OS2Sb2,0.23
OSb2Se2,0.289
OSb2Te2,0.1
Os2Cl6,-1.7505000000000002
Os2O4,0.17
Os2P2S6,0.663
Os2S4,0.224
Os2Se4,0.293
Os2Te4,0.5529999999999999
OsBr2,0.8043333333333335
OsCl2,0.6134999999999999
OsH2O2,1.631
OsI2,0.304
OsO2,2.946
P2Sb2Se6,0.407
P2Sb2Te6,0.328
P4,0.139
P8Si4,0.139
Pb2Br2,0.413
Pb2Br4,0.174
Pb2Cl2,1.274
Pb2F2,0.156
Pb2I2N2,-2.258
Pb2O2,0.391
Pb2P2S6,0.507
Pb2P2Se6,0.18
Pb2P2Te6,0.145
Pb2S2,0.237
Pb2S4,0.263
Pb2Se2,-0.40166666666666667
Pb2Se4,0.051
Pb2Se6,0.657
Pb2Te2,0.36150000000000004
Pb2Te4,-0.679
Pb2Te6,0.209
Pb4O4,0.43
PbBr2,0.48666666666666664
PbCl2,-0.4733333333333334
PbF2,1.16
PbF4,1.053
PbH2O2,0.538
PbI2,0.383
PbO,-0.046
PbO2,1.1623333333333334
PbS,-0.553
PbS2,0.35933333333333334
PbSb2Te4,0.099
PbSe,-1.992
PbSe2,0.35966666666666675
PbTe,0.127
PbTe2,0.23
PbWO4,0.57
Pd2Br6,0.486
Pd2Cl4,0.524
Pd2Cl6,0.3
Pd2F2,2.238
Pd2I4O12,0.829
Pd2I6,0.211
Pd2N4O12,5.379
Pd2O6Se2,1.189
Pd2P2S6,0.042
Pd2S4,0.495
Pd2Se4,0.474
Pd2Te4,0.268
Pd3P2S8,1.739
Pd4I8,1.215
Pd4P4S4,0.5
Pd4P4Se4,0.714
Pd4Tl2Se6,0.35
PdBr2,0.571
PdCl2,0.794
PdF2,0.035
PdO2,0.885
PdS2,0.271
PdSe2,0.5795
Pt2Br2N2,0.236
Pt2Br6,0.487
Pt2Cl2,2.486
Pt2Cl2N2,0.252
Pt2Cl6,0.316
Pt2O2,0.226
Pt2P2S6,0.012
Pt2P2Se6,0.18
Pt2S2,0.051
Pt2S4,0.606
Pt2Se4,0.448
Pt2Te4,0.29
Pt4I8,-17.091
Pt4Tl2S6,0.576
Pt4Tl2Se6,0.367
Pt4Tl2Te6,0.388
PtBr2,0.579
PtCl2,0.817
PtF2,1.898
PtO2,1.193
PtS2,0.285
PtSe2,0.224
PtTe2,0.169
Rb2Br2,0.564
Rb2Br2F8,3.87
Rb2C2F6O6S2,0.807
Rb2C4,0.763
Rb2Cl2,0.658
Rb2F2,0.816
Rb2I2,0.508
Re2Br2,-0.504
Re2Br6,0.2115
Re2I4,1.782
Re2I6,1.108
Re2S2,0.17
Re2ZnO8,2.035
Re4O8,1.549
Re4S8,0.522
Re4Se8,0.546
Re4Te8,1.338
Re6Cl2Se8,1.835
Rh2Br2S2,0.023
Rh2Br4,0.487
Rh2Br6,5.9375
Rh2Cl2O2,0.311
Rh2Cl2S2,0.016
Rh2Cl2Te2,0.289
Rh2Cl4,0.676
Rh2Cl6,2.723
Rh2I6,4.013
Rh2O2,0.08
Rh2P2Se6,0.05
Rh2P2Te6,0.987
Rh2Se2,0.15
Rh2Ta2Te8,0.082
Rh4S8,1.3
Rh4Se8,1.698
Ru2F8,3.389
Ru2O4,0.062
Ru2P2S6,0.991
Ru2P2Se6,0.859
Ru2P2Te6,0.411
Ru2S4,0.729
Ru2Se4,0.73
Ru2Se6,0.165
Ru2Te4,0.342
RuBr2,0.5685
RuCl2,0.6799999999999999
RuH2O2,1.291
RuI2,0.354
S2Sb2,0.228
S2Sb2Se,0.14
S2Sb2Te,0.144
S2Si,0.174
S2Si2,0.517
S3Sb2,0.171
S8Si4,0.438
SSb2Se2,0.132
SSb2Te2,0.089
Sb2,0.133
Sb2Se2,0.2945
Sb2Se2Te,0.108
Sb2Se3,0.121
Sb2SeTe2,0.086
Sb2Te3,0.097
Sb4,0.008
Sc2Br2O2,0.759
Sc2Br2S2,0.612
Sc2Br2Se2,0.931
Sc2Br6,2.9775
Sc2CCl2,0.244
Sc2CF2,0.285
Sc2CH2O2,0.561
Sc2Cl2O2,0.786
Sc2Cl2S2,0.637
Sc2Cl2Se2,1.05
Sc2Cl6,2.241
Sc2I2O2,0.706
Sc2I2S2,0.444
Sc2I2Se2,0.968
Sc2I6,-47.683
Sc2O13Te5,3.482
Sc2O2,0.93
Sc2P2S6,1.207
Sc2P2S8,0.988
Sc2P2Se6,1.025
Sc2S2,0.21250000000000002
Sc2Se2,0.23950000000000002
Sc2Te2,-4.0360000000000005
Sc4I4O4,0.854
Sc4S6,0.618
ScBr2,0.674
ScCl2,0.845
ScH2,0.632
ScI2,0.486
ScO2,2.943
ScS2,4.11
ScSe2,3.763
Se2Si,0.155
Se2Si2,0.22
Si2,0.022
Si2Te2,0.088
Sn2,0.044
Sn2Br2,0.238
Sn2Br2N2,0.234
Sn2C2H6O6P2,0.862
Sn2Cl2,-2.77
Sn2Cl2N2,0.272
Sn2F2,0.167
Sn2F2O6P2,0.822
Sn2H2,0.025
Sn2H2O6P2,1.256
Sn2I2N2,0.192
Sn2O2,0.629
Sn2O6P2,0.821
Sn2O8S2,1.13
Sn2P2S6,0.398
Sn2P2Se6,0.213
Sn2P2Te6,0.175
Sn2S2,0.158
Sn2Se2,0.14250000000000002
Sn2Se4,0.201
Sn2Te2,0.139
SnBr2,-64.58766666666666
SnCl2,0.8586666666666666
SnF2,-88.361
SnF4,0.791
SnH2O2,0.542
SnI2,0.4976666666666667
SnO,-1.298
SnO2,0.387
SnS,0.382
SnS2,0.4096666666666667
SnSe,0.299
SnSe2,0.7325
SnTe,0.255
SnTe2,-1.564
Sr2Br2H2,0.518
Sr2Cl4O8,0.947
Sr2F2I2,0.338
Sr2H8O6,0.662
Sr2O12P4,0.596
SrBr2,0.451
SrCl2,0.5336666666666666
SrF2,0.734
SrF2O2,5.834
SrH2O2,0.7
SrH2S2,0.53
SrI2,0.5523333333333333
Ta2I2,0.023
Ta2I4O2,0.293
Ta2P2Se6,0.235
Ta2P2Te6,0.449
Ta3I7Se,2.233
Ta3I7Te,1.151
Ta4O8,0.32
TaO2,0.508
Ti2Br2,0.249
Ti2Br2N2,0.156
Ti2Br6,1.493
Ti2CO2,0.406
Ti2Cl2,0.101
Ti2Cl2N2,0.175
Ti2Cl4,0.695
Ti2Cl6,0.383
Ti2I2N2,0.022
Ti2I4,0.444
Ti2I6,1.267
Ti2O4,1.049
Ti2O6,1.152
Ti2S2,0.023
Ti2S6,0.382
Ti2Se2,0.029
Ti2Se6,0.137
Ti2Te2,0.21250000000000002
Ti2Zr2S8,1.272
Ti2Zr2Se8,0.65
Ti2Zr2Te8,0.224
Ti3ZrS8,1.683
Ti3ZrSe8,0.651
Ti3ZrTe8,0.191
Ti4Br4Se4,0.725
Ti4Cl4Se4,0.763
Ti4I4Se4,0.714
TiBr2,1.208
TiBrCl,1.298
TiBrI,1.282
TiCl2,1.283
TiClI,1.64
TiH2,-6.083
TiI2,1.171
TiO2,1.0516666666666667
TiS2,-1.124666666666667
TiSSe,1.951
TiSTe,1.066
TiSe2,0.6245
TiSeTe,0.846
TiTe2,0.5185
TiZr3S8,1.393
TiZr3Se8,0.74
TiZr3Te8,0.23
Tl2Br2,0.5305
Tl2Br2O2,0.317
Tl2Br6,0.7745
Tl2Cl2,2.245
Tl2Cl2O2,0.343
Tl2Cl4,1.074
Tl2Cl6,0.758
Tl2I2,1.7105
Tl2I2O2,0.281
Tl2I2S2,0.185
Tl2I6,1.5425
Tl2O6Sb2,5.534
Tl2S2,0.219
Tl2Se2,0.1495
Tl2Te2,0.0815
V2Br6,0.197
V2Cl6,0.416
V2F2,-0.643
V2F2O7Te2,1.494
V2F8,4.437
V2H4O10Se2,1.616
V2I2,0.88
V2I6,0.31
V2O10P2,3.274
V2O5,0.907
V2S2,1.165
V2Se2,1.361
V2Te2,1.5110000000000001
V4F12O4,97.043
V4O10,1.2910000000000001
V4O8,2.324
VBr2,0.762
VBr2O,0.64
VBrCl,0.841
VBrI,0.695
VCl2,0.93
VCl2O,0.688
VClI,3.766
VI2,0.635
VS2,0.6
VSSe,0.43
VSe2,0.344
VSeTe,0.214
VTe2,-1.9435
W2Br6,0.147
W2Cl4O4,0.412
W2Cl6,0.7855
W2H4O8,-0.319
W2I6,1.0025
W2O12Sb4,0.719
W2O2,0.47
W2P2S6,0.137
W2Se4,0.448
WO2,0.347
WOS,0.976
WOSe,1.48
WOTe,1.253
WS2,0.466
WSSe,0.424
WSTe,0.6795
WSe2,0.455
WSeTe,0.526
WTe2,0.353
Y2Br6,1.032
Y2CF2,0.253
Y2CH2O2,0.448
Y2Cl2O2,0.859
Y2Cl2O4,2.565
Y2Cl6,1.5425
Y2F2,-6.218
Y2I6,1.3904999999999998
Y3N2O2,0.899
YBr2,0.627
YCl2,0.793
YI2,0.46
Zn2As4O8,0.46
Zn2Ge2O6,0.299
Zn2H4O8Se2,0.923
Zn2H8N4Te2,0.565
Zn2I2,0.233
Zn2O6Si2,0.521
Zn2P2S6,0.254
Zn2P2Se6,0.156
Zn2P2Te6,0.453
Zn2S2,0.201
Zn2S4,0.388
Zn2Se2,0.188
Zn2Se4,0.717
Zn2Te2,0.09
Zn2Te4,0.569
Zn4Cl4O4,0.991
ZnBr2,0.6843333333333333
ZnC4N6,0.76
ZnCl2,0.465
ZnF2,0.634
ZnH2O2,0.519
ZnI2,0.34
Zr2Br2,0.141
Zr2Br2N2,0.4425
Zr2Br4,0.344
Zr2CO2,0.309
Zr2Cl2,0.073
Zr2Cl2N2,0.45499999999999996
Zr2Cl4,0.238
Zr2Ge2Te8,0.268
Zr2I2N2,0.445
Zr2I4,0.368
Zr2O6,0.852
Zr2P2S6,0.804
Zr2P2Se6,0.741
Zr2S2,0.016
Zr2S6,0.351
Zr2Se2,0.205
Zr2Se6,0.139
Zr2Te10,0.027
Zr2Te2,0.12833333333333333
Zr3C2F2S2,0.466
Zr3C2O2,-0.94
Zr3F2N2O2,1.397
Zr3N2O2,0.528
ZrBr2,0.67
ZrBrCl,0.705
ZrBrI,0.669
ZrCl2,0.754
ZrClI,0.722
ZrH2O6P2,0.802
ZrI2,0.63
ZrO2,-10.238
ZrS2,0.5843333333333333
ZrSSe,0.713
ZrSTe,1.284
ZrSe2,0.5203333333333333
ZrSeTe,0.39
ZrTe2,0.41
